Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
568975,00000410,false,Rx,0,8,37,00,AA,21,00,FF,01,42,
569338,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
569600,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,01,01,
569860,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
579161,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
579368,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
589410,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,03,A7,
589424,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,03,7B,
589647,00000410,false,Rx,0,8,37,00,AA,30,00,FF,02,50,
590097,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
590254,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,02,02,
590749,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
590822,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
601338,00000231,false,Rx,0,8,00,01,00,00,00,00,08,09,
601406,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
610389,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,04,A0,
610445,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,04,7C,
610650,00000410,false,Rx,0,8,37,00,AA,30,00,FF,04,56,
611290,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
611304,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,04,04,
612385,00000231,false,Rx,0,8,00,01,00,00,00,00,0A,0B,
612397,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
617341,00000332,false,Rx,0,8,01,00,00,00,00,00,0D,0C,
617354,00000530,false,Rx,0,8,FF,FF,79,84,27,11,D2,00,
623333,00000231,false,Rx,0,8,00,01,00,00,00,00,0B,0A,
623394,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
631380,00000400,false,Rx,0,8,00,0B,5E,F0,00,01,05,A1,
631393,00000408,false,Rx,0,8,00,41,33,0A,FF,FF,05,7D,
631648,00000410,false,Rx,0,8,37,00,AA,30,00,FF,05,57,
632027,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
632208,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,05,05,
634323,00000231,false,Rx,0,8,00,01,00,00,00,00,0C,0D,
634401,00000517,false,Rx,0,8,00,00,00,00,00,00,00,00,
645397,00000231,false,Rx,0,8,00,01,00,00,00,00,0D,0C,
