Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1889161,00000010,false,Rx,0,8,00,FF,61,30,00,00,06,A8,
1894161,00000410,false,Rx,0,8,3B,00,AA,31,00,FF,09,56,
1899161,00000012,false,Rx,0,8,99,99,32,00,01,00,0B,38,
1904161,00000411,false,Rx,0,8,32,60,00,00,00,00,00,00,
1909161,00000022,false,Rx,0,8,FF,FF,FF,FF,00,00,09,09,
1914161,00000102,false,Rx,0,8,00,00,19,50,51,CD,02,D7,
1919161,00000103,false,Rx,0,8,02,00,02,00,00,00,02,02,
1924161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,04,99,
1929161,00000231,false,Rx,0,8,00,01,00,00,00,00,06,07,
1934161,00000517,false,Rx,0,8,01,00,00,00,00,00,00,00,
1939161,00000010,false,Rx,0,8,00,FF,61,30,00,00,07,A9,
1944161,00000013,false,Rx,0,8,FF,01,09,00,00,00,00,00,
1949161,00000102,false,Rx,0,8,00,00,19,50,51,CD,03,D6,
1954161,00000103,false,Rx,0,8,02,00,02,00,00,00,03,03,
1959161,00000122,false,Rx,0,8,D3,23,00,CA,1C,BB,05,98,
1964161,00000110,false,Rx,0,8,00,00,00,7B,01,05,0A,75,
1969161,00000308,false,Rx,0,8,00,12,00,00,00,00,82,00,
1974161,00000300,false,Rx,0,8,00,00,0D,8C,00,66,00,00,
